Name,County name,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,ACT Composite 75th percentile score,Percent admitted - total,State,Percent of total enrollment that are Asian,Percent of total enrollment that are Black or African American,Percent of total enrollment that are Hispanic/Latino,Percent of total enrollment that are White,Percent of total enrollment that are women,Graduation rate - Bachelor degree within 4 years,Graduation rate - Bachelor degree within 6 years,Percent of freshmen receiving any financial aid,Tuition and fees,County Household Median Income,County Poverty Rate under Age 18,County Poverty Rate 18 to 34,County Poverty Rate General,code
Alabama A & M University,Madison County,450,450,19,90,Alabama,1,92,1,5,55,10,29,97,7182,63417,19.1,19.2,13.2,AL
University of Alabama at Birmingham,Jefferson County,640,650,28,87,Alabama,5,21,3,64,61,29,53,90,7206,51979,24.8,19.6,17,AL
University of Alabama in Huntsville,Madison County,640,650,29,81,Alabama,4,12,3,69,44,16,48,87,9192,63417,19.1,19.2,13.2,AL
Alabama State University,Montgomery County,480,480,19,51,Alabama,0,91,1,3,61,9,25,93,8720,47990,32.4,26,20.7,AL
The University of Alabama,Tuscaloosa County,620,640,30,57,Alabama,1,11,3,77,55,43,67,75,9450,52221,21.3,26,17.4,AL
Auburn University,Lee County,620,650,30,83,Alabama,2,7,2,81,49,38,68,76,9852,48056,22.3,36.3,21.4,AL
Birmingham Southern College,Jefferson County,630,640,29,64,Alabama,4,9,3,81,46,53,62,98,30690,51979,24.8,19.6,17,AL
Huntingdon College,Montgomery County,500,540,24,63,Alabama,1,19,2,58,50,30,43,100,23500,47990,32.4,26,20.7,AL
Jacksonville State University,Calhoun County,540,540,26,83,Alabama,1,25,1,66,58,10,31,93,7092,45197,26.2,25.6,18.6,AL
Judson College,Perry County,640,600,24,74,Alabama,1,14,1,80,95,38,41,100,15630,23561,56.8,54,41.8,AL
University of Mobile,Mobile County,610,680,25,71,Alabama,1,24,1,63,68,33,49,93,18690,46166,29.1,23,19.3,AL
University of Montevallo,Shelby County,613,550,26,87,Alabama,1,15,2,73,67,24,45,88,10000,75761,10.3,11.3,8.4,AL
University of North Alabama,Lauderdale County,565,530,25,81,Alabama,1,13,2,72,58,12,32,82,7078,46265,19.3,21.7,15.2,AL
Oakwood University,Madison County,513,510,22,34,Alabama,0,84,3,1,58,19,37,94,16234,63417,19.1,19.2,13.2,AL
Samford University,Jefferson County,630,610,28,77,Alabama,2,7,5,81,62,49,69,98,26328,51979,24.8,19.6,17,AL
University of South Alabama,Mobile County,550,565,26,86,Alabama,3,20,2,66,61,14,33,91,6948,46166,29.1,23,19.3,AL
Spring Hill College,Mobile County,600,600,27,46,Alabama,1,16,8,68,60,47,56,100,30924,46166,29.1,23,19.3,AL
Stillman College,Tuscaloosa County,450,438,20,43,Alabama,0,92,1,6,49,17,26,100,15901,52221,21.3,26,17.4,AL
Tuskegee University,Macon County,510,520,22,35,Alabama,1,76,1,2,60,17,44,96,18900,32074,40.4,30,25.8,AL
Alaska Pacific University,Anchorage Municipality,575,510,24,37,Alaska,1,2,3,53,65,25,40,100,29810,83280,14,10,9.2,AK
Arizona State University-Tempe,Maricopa County,620,650,28,80,Arizona,6,4,16,56,43,38,59,91,9861,61606,21.1,17.2,14.7,AZ
University of Arizona,Pima County,600,630,27,77,Arizona,6,3,21,54,52,40,61,83,10391,51037,25.1,24.2,17.8,AZ
Embry-Riddle Aeronautical University-Prescott,Yavapai County,630,650,29,79,Arizona,8,2,7,58,21,37,59,91,31034,50180,18.8,21.8,14,AZ
Northern Arizona University,Coconino County,580,580,25,91,Arizona,2,3,18,64,59,30,49,83,9738,57616,20,29.6,18.9,AZ
Prescott College,Yavapai County,640,600,30,73,Arizona,1,2,5,77,65,23,38,94,29732,50180,18.8,21.8,14,AZ
Arizona Christian University,Maricopa County,580,600,25,61,Arizona,2,5,13,61,50,28,47,99,21832,61606,21.1,17.2,14.7,AZ
